orth,pron_no_tones
បំព្រំ,bɑmprum
ស្រិច ៗ,srǝc-srǝc
ល្ពៅ,lpɨv
បំផុល,bɑmpʰol
ខ្ជាប់ខ្ជួន,kcoap-kcuən
សេ,seɛ
ច្រងេង ច្រងាង,crɑŋeɛŋ-crɑŋaaŋ
ពន្លឿន,pʊənlɨən
អរហត្ត,ʔaʔraʔhat
ឫស្យា,rɨhsyaa
សម្ភី,sɑmpʰii
ទុំ,tum
ថ្លោះ,tlɑh
ប្របេះ,prɑbeh
ដល់,dɑl
មេធា,meetʰie
ទូរទស្សន៍,tuureaʔtʊəh
ទ្រនុង,trɔnuŋ
ពន្លៃ,pʊənley
តុកកែ,tok kae
វត្ថុ,voattʰoʔ
ផាមួង,pʰaa muəŋ
ឈើ,cʰəə
សិប្ប,sǝppaʔ
យតិ,yeaʔteʔ
មហាវិទ្យាល័យ,meaʔhaavityielay
អយ្យ,ʔayyeaʔ
យាចក,yiecɑk
ស្អាត,sʔaat
អរូបី,ʔaʔruupǝy
និបាត,niʔbaat
បន្ទាល់,bɑntoal
ដដែល,dɑdael
ពហិការ,peaʔheʔkaa
មហិមា,meaʔheʔmie
ស្បិត,sbǝt
សង្ឃ័រ,sɑŋkʰoa
ខ្ជឹប,kcɨp
ដាប់,dap
ឆ្អើរ,cʔaə
បញ្ចាំង,bɑɲcaŋ
វិញ្ញាបនប័ត្រ,vɨɲɲiebannaʔbat
រដក,rɔdɑɑk
រនាម,rɔniem
តិកៈ,teʔkaʔ
ត្រួស,truəh
លង្វែក,lʊəŋvɛɛk
អភិលក្ខិតកាល,ʔaʔpʰiʔleakkʰeʔtaʔkaal
សន្និដ្ឋាន,sɑnnittʰaan
កាត់,kat
ប្រហារ,prɑhaa
ទាយ,tiey
ប្រៃ,pray
ទិព្វ,tip
ខ្វាច,kvaac
ជន្មា,ceaʔneaʔmie
បូល,bool
ព្រះចន្ទ្រ,preah can
មាន,mien
ក្រអូប,krɑʔoop
រហូត,rɔhoot
ភ្លាត់,ploat
គំនុំ,kumnum
បំភ្លឺ,bɑmplɨɨ
បង្ក្រាប,bɑŋkraap
