orth,pron_no_tones,pron_with_tones
ອ້ອນ,ɔːn,ɔːn˥˨
ໄດ້ຍິນ,dajɲin,daj˥˨ɲin˧˥
ບາງ,baːŋ,baːŋ
ຫມັດ,mat,mat˧˥
ກົລ,kuaːm,kuaːm
ປັຈ,puaːŋpaj,puaːŋ˧paj
ກ້າມ,kaːm,kaːm˥˨
ລ້ຽວ,liaːw,liaːw˥˨
ທຶບ,tʰɯp,tʰɯp˧
ຄວາມຄິດ,kʰwaːmkʰit,kʰwaːm˧˥kʰit˧
ຂວ້າງ,kʰwaːŋ,kʰwaːŋ˧˩
ຈາຣຶກ,t͡ɕaːrɯk,t͡ɕaːrɯk˧
ທອກ,tʰɔːk,tʰɔːk˥˨
ທ່ຽງ,tʰiaːŋ,tʰiaːŋ˧
ສັນນິຖານ,sannitʰaːn,san˩˧ni˧tʰaːn˩˧
ເຈືອຈານ,t͡ɕɯːə̯t͡ɕaːn,t͡ɕɯːə̯t͡ɕaːn
ນ້ຳມັນ,namman,nam˥˨man˧˥
ເກີດ,keːt,keːt˧˩
ເທົ່າ,tʰao,tʰao˧
ສີມື,siːmɯː,siː˩˧mɯː˧˥
ສ່ອງ,sɔːŋ,sɔːŋ˧
ຄຸກຄານ,kʰukkʰaːn,kʰuk˧kʰaːn˧˥
ເຂົ້າອູ່,kʰaouː,kʰao˧˩uː˧
ວາງ,waːŋ,waːŋ˧˥
ປ່ວນ,puaːn,puaːn˧
ເຂັ້ມ,kʰem,kʰem˧˩
ງະ,ŋa,ŋa˧
ສັນຕະຕິ,santati,san˩˧ta˧˥ti˧˥
ປອບ,pɔːp,pɔːp˧˩
ປະຕິພານ,patipʰaːn,pa˧˥ti˧˥pʰaːn˧˥
ຄັດອອກ,kʰatɔːk,kʰat˧ɔːk˧˩
ມີກຽດ,miːkiaːt,miːkiaːt˧˥
ຄວາ,kʰwaː,kʰwaː˧˥
ແຢະ,jɛ,jɛ˧˥
ລຳນ້ຳ,lamnam,lam˧˥nam˥˨
ເມື່ອ,mɯːə̯,mɯːə̯˧
ການງົດເວັ້ນ,kaːnŋotwen,kaːnŋot˧wen˥˨
ຜິວ,pʰiw,pʰiw˩˧
ເຈົ້າກີ້ເຈົ້າການ,t͡ɕaokiːt͡ɕaokaːn,t͡ɕao˥˨kiː˥˨t͡ɕao˥˨kaːn
ການອຸທິດ,kaːnutʰit,kaːnu˧˥tʰit˧
ລະດາ,ladaː,la˧daː
ສັກດາ,sakdaː,sak˧˥daː
ແຄນ,kʰɛːn,kʰɛːn˧˥
ຮີ,hiː,hiː˧˥
ຕໍ້,tɔː,tɔː˥˨
ຜາສຸກ,pʰaːsuk,pʰaː˩˧suk˧˥
ສົງຄາມ,soŋkʰaːm,soŋ˩˧kʰaːm˧˥
ເສັ້ນ,sen,sen˧˩
ແຫກ,hɛːk,hɛːk˧˩
ສເນີ,sanəː,sa˧˥nəː˧˥
ສົນທິ,sontʰi,son˩˧tʰi˧
ໄຫ,haj,haj˩˧
ຄຶ,kʰɯ,kʰɯ˧
ໂຊ່ນ,soːn,soːn˧
ສິ່ງ,siŋ,siŋ˧
ຂິງ,kʰiŋ,kʰiŋ˩˧
ແຫລວ,lɛːw,lɛːw˩˧
ຈາຣະ,t͡ɕaːra,t͡ɕaːra˧
ສະໂມສອນ,samoːsɔːn,sa˧˥moː˧˥sɔːn˩˧
ກາໂຕລິກ,kaːtoːlik,kaːtoːlik˧˥
ເກີນ,kəːn,kəːn
ແກ່ແດ່,kɛːdɛː,kɛː˧dɛː˧
